LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,EDUTRY,25_34,PC_AGE,A,2016,49.30521,
AUS,EDUTRY,25_34,PC_AGE,A,2017,51.989063,
AUS,EDUTRY,25_34,PC_AGE,A,2018,51.393173,
AUS,EDUTRY,25_34,PC_AGE,A,2019,52.478458,
AUT,EDUTRY,25_34,PC_AGE,A,2016,39.671021,
AUT,EDUTRY,25_34,PC_AGE,A,2017,40.324657,
AUT,EDUTRY,25_34,PC_AGE,A,2018,40.458271,
AUT,EDUTRY,25_34,PC_AGE,A,2019,41.610401,
BEL,EDUTRY,25_34,PC_AGE,A,2016,44.311111,
BEL,EDUTRY,25_34,PC_AGE,A,2017,45.725086,
BEL,EDUTRY,25_34,PC_AGE,A,2018,47.397144,
BEL,EDUTRY,25_34,PC_AGE,A,2019,47.282982,
CAN,EDUTRY,25_34,PC_AGE,A,2016,60.582603,
CAN,EDUTRY,25_34,PC_AGE,A,2017,60.916767,
CAN,EDUTRY,25_34,PC_AGE,A,2018,61.754246,
CAN,EDUTRY,25_34,PC_AGE,A,2019,62.965115,
CZE,EDUTRY,25_34,PC_AGE,A,2016,32.564495,
CZE,EDUTRY,25_34,PC_AGE,A,2017,33.821026,
CZE,EDUTRY,25_34,PC_AGE,A,2018,33.328793,
CZE,EDUTRY,25_34,PC_AGE,A,2019,32.580391,
DNK,EDUTRY,25_34,PC_AGE,A,2016,44.594067,
DNK,EDUTRY,25_34,PC_AGE,A,2017,45.537395,
DNK,EDUTRY,25_34,PC_AGE,A,2018,45.83231,
DNK,EDUTRY,25_34,PC_AGE,A,2019,47.097672,
FIN,EDUTRY,25_34,PC_AGE,A,2016,41.13372,
FIN,EDUTRY,25_34,PC_AGE,A,2017,41.253643,
FIN,EDUTRY,25_34,PC_AGE,A,2018,41.313869,
FIN,EDUTRY,25_34,PC_AGE,A,2019,41.820766,
FRA,EDUTRY,25_34,PC_AGE,A,2016,44.036968,
FRA,EDUTRY,25_34,PC_AGE,A,2017,44.34428,
FRA,EDUTRY,25_34,PC_AGE,A,2018,46.937691,
FRA,EDUTRY,25_34,PC_AGE,A,2019,48.052528,
DEU,EDUTRY,25_34,PC_AGE,A,2016,30.527618,
DEU,EDUTRY,25_34,PC_AGE,A,2017,31.308737,
DEU,EDUTRY,25_34,PC_AGE,A,2018,32.281734,
DEU,EDUTRY,25_34,PC_AGE,A,2019,33.260235,
