,city,temp,Minimum_Temp,Maximum_Temp,Country
0,Helsinki,49.19,46.99,51.01,FI
1,Copenhagen,51.96,50,54,DK
2,Bern,68.09,66.99,69.8,CH
3,Reykjavik,42.64,42.01,43,IS
4,Amsterdam,50.16,48.99,51.01,NL
5,Oslo,51.96,50,55.4,NO
6,Stockholm,50.99,50,52,SE
7,Luxembourg,58.03,55,60.01,BE
8,Wellington,59.68,57.99,60.8,NZ
9,Vienna,61.74,60.8,63,AT
10,Canberra,50.04,48,53.01,AU
11,Jerusalem,83.37,82.99,84,IL
12,Berlin,59.45,57.99,61,DE
13,Ottawa,46.2,44.01,50,CA
14,Dublin,58.48,55.99,61,US
15,San Jose,59.74,57,62.01,US
16,London,60.35,57.99,62.01,GB
17,Prague,57.13,57,57.2,CZ
18,Washington,47.39,45,51.01,US
19,Brussels,64.09,63,64.99,BE
20,Paris,70.3,68,72,FR
21,Manama,86,86,86,BH
22,Valletta,75.2,75.2,75.2,MT
23,Taipei,76.75,73.99,78.01,TW
24,Abu Dhabi,88.57,87.8,89.6,AE
25,Riyadh,99.73,98.6,100.4,SA
26,Madrid,81.23,80.01,84.2,ES
27,Rome,60.3,59,61,US
28,Ljubljana,62.51,60.8,64,SI
29,Guatemala City,69.55,66.2,73.99,GT
30,Montevideo,59.86,59,60.8,UY
31,Singapore,79.63,78.01,80.6,SG
32,Pristina,57.74,57,59,XK
33,Bratislava,61.16,60.01,62.01,SK
34,Brasilia,79.83,78.8,81,BR
35,Mexico City,62.6,62.6,62.6,MX
36,Kingston,84.6,82,86,JM
37,Vilnius,43.81,41,46.4,LT
38,Nicosia,78.93,73,84.2,CY
39,Tallinn,43.57,42.01,44.6,EE
40,Panama City,84.76,84.2,86,PA
41,Tashkent,82.4,82.4,82.4,UZ
42,Santiago,55.98,55.4,57,CL
43,Warsaw,52.61,51.8,54,PL
44,Astana,59,59,59,KZ
45,Bucharest,59.02,57,61,RO
46,Kuwait City,93.13,91,98.6,KW
47,Belgrade,61.7,60.8,63,RS
48,San Salvador,79.05,77,82.4,SV
49,Port Louis,73.47,72,75.2,MU
50,Riga,48.2,48.2,48.2,LV
51,Bogota,62.6,62.6,62.6,CO
52,Budapest,61.27,60.8,62.01,HU
53,Bangkok,82.69,77,86,TH
54,Managua,86,86,86,NI
55,Tokyo,69.4,68,70,JP
56,Buenos Aires,61.27,59,63,AR
57,Lisbon,68.85,66.99,69.8,PT
